RSSI,actual_cp,RF_cp,SVM_cp,3NN_cp,5NN_cp,7NN_cp,10NN_cp,15NN_cp
"[-67, -54, -74, -68, -63, -59]",E,D,E,E,E,E,E,E
"[-70, -62, -80, -50, -58, -55]",E,A,A,E,E,E,E,E
"[-76, -70, -78, -52, -63, -58]",A,E,E,E,E,E,E,E
"[-82, -67, -71, -61, -64, -47]",E,E,E,E,E,E,E,E
"[-64, -65, -66, -58, -69, -69]",C,E,E,E,E,E,E,E
"[-75, -70, -77, -53, -63, -58]",A,E,E,E,E,E,E,E
"[-74, -60, -72, -47, -70, -46]",E,E,E,E,E,E,E,E
"[-75, -71, -78, -47, -57, -67]",A,A,A,A,A,A,A,A
"[-76, -55, -76, -56, -59, -65]",E,A,E,E,E,E,E,E
"[-87, -73, -77, -59, -56, -60]",B,A,E,E,E,E,E,E
"[-83, -67, -71, -60, -65, -47]",E,E,E,E,E,E,E,E
"[-83, -67, -71, -60, -65, -47]",E,E,E,E,E,E,E,E
"[-81, -79, -85, -54, -60, -66]",A,A,A,A,A,A,A,A
"[-81, -75, -66, -54, -71, -23]",B,E,E,E,E,E,E,E
"[-59, -52, -70, -60, -75, -68]",C,E,C,C,C,C,C,C
"[-68, -58, -71, -62, -77, -54]",E,E,E,E,E,E,E,E
"[-60, -72, -75, -73, -80, -80]",C,D,D,D,D,D,D,D
"[-77, -32, -72, -55, -65, -58]",E,E,E,E,E,E,E,E
"[-61, -68, -65, -67, -72, -66]",D,D,C,C,C,C,C,C
"[-76, -71, -78, -52, -62, -58]",A,E,E,E,E,E,E,E
"[-60, -74, -76, -73, -80, -80]",C,D,D,D,D,D,D,D
"[-89, -80, -82, -64, -66, -59]",A,B,B,B,B,B,B,B
"[-80, -75, -71, -50, -56, -54]",E,E,E,E,E,E,E,E
"[-54, -68, -60, -78, -82, -68]",C,C,C,C,C,C,C,C
"[-72, -68, -73, -58, -73, -68]",E,E,E,E,E,E,E,E
"[-64, -67, -64, -54, -73, -60]",E,E,E,E,E,E,E,E
"[-62, -47, -66, -65, -85, -66]",E,D,C,C,C,C,C,C
"[-83, -78, -84, -56, -60, -65]",A,A,A,A,A,A,A,A
"[-61, -47, -66, -63, -89, -66]",E,D,C,C,C,C,C,C
"[-75, -66, -62, -66, -75, -60]",D,C,E,E,E,E,E,E
"[-79, -68, -73, -61, -65, -50]",E,E,E,E,E,E,E,E
"[-79, -78, -70, -48, -56, -52]",E,E,E,E,E,E,E,E
"[-73, -60, -71, -47, -69, -47]",E,E,E,E,E,E,E,E
"[-73, -64, -67, -58, -70, -48]",B,E,E,E,E,E,E,E
"[-69, -67, -86, -55, -55, -68]",A,A,A,A,A,A,A,A
"[-77, -70, -79, -46, -57, -67]",A,A,A,A,A,A,A,A
"[-66, -64, -79, -70, -76, -77]",D,D,D,D,D,D,D,D
"[-77, -71, -78, -52, -62, -58]",A,E,E,E,E,E,E,E
"[-80, -52, -67, -53, -60, -62]",E,E,E,E,E,E,E,E
"[-81, -53, -66, -52, -61, -61]",E,E,E,E,E,E,E,E
"[-65, -69, -81, -64, -82, -66]",D,A,C,C,C,C,C,C
"[-76, -59, -75, -55, -60, -65]",E,A,E,E,E,E,E,E
"[-84, -72, -78, -59, -57, -59]",B,A,E,E,E,E,E,E
"[-73, -65, -62, -66, -75, -60]",D,C,E,E,E,E,E,E
"[-69, -53, -73, -68, -63, -59]",E,E,E,E,E,E,E,E
"[-74, -68, -73, -58, -73, -69]",E,E,E,E,E,E,E,E
"[-62, -47, -66, -65, -86, -65]",E,D,C,C,C,C,C,C
"[-80, -51, -67, -52, -60, -62]",E,E,E,E,E,E,E,E
"[-74, -71, -86, -60, -68, -54]",E,E,A,A,A,A,A,A
"[-62, -48, -66, -65, -86, -66]",E,D,C,C,C,C,C,C
"[-55, -65, -60, -78, -83, -68]",C,C,C,C,C,C,C,C
"[-81, -77, -87, -55, -60, -64]",A,A,A,A,A,A,A,A
"[-74, -72, -86, -59, -70, -55]",E,E,A,A,A,A,A,A
"[-73, -65, -72, -56, -69, -75]",E,E,E,E,E,E,E,E
"[-78, -79, -74, -49, -63, -53]",E,E,E,E,E,E,E,E
"[-69, -58, -70, -65, -78, -55]",E,C,E,E,E,E,E,E
"[-67, -52, -73, -68, -62, -59]",E,D,E,E,E,E,E,E
"[-76, -32, -68, -55, -65, -56]",E,E,E,E,E,E,E,E
"[-67, -52, -69, -62, -73, -62]",E,E,E,E,E,E,E,E
"[-75, -48, -82, -53, -69, -56]",E,E,E,E,E,E,E,E
"[-79, -77, -65, -57, -74, -54]",E,E,E,E,E,E,E,E
"[-80, -79, -73, -49, -62, -53]",E,E,E,E,E,E,E,E
"[-75, -72, -67, -47, -68, -45]",E,E,E,E,E,E,E,E
"[-66, -52, -69, -62, -73, -62]",E,E,E,E,E,E,E,E
"[-73, -60, -71, -47, -69, -47]",E,E,E,E,E,E,E,E
"[-79, -76, -71, -49, -56, -54]",E,E,E,E,E,E,E,E
"[-81, -67, -71, -61, -64, -48]",E,E,E,E,E,E,E,E
"[-79, -81, -73, -49, -62, -53]",E,E,E,E,E,E,E,E
"[-70, -62, -80, -50, -57, -55]",E,A,A,E,E,E,E,E
"[-70, -68, -85, -59, -50, -58]",A,A,A,A,A,A,A,A
"[-69, -64, -85, -54, -53, -68]",A,A,A,A,A,A,A,A
"[-60, -71, -75, -73, -80, -80]",C,D,D,D,D,D,D,D
"[-60, -74, -77, -73, -80, -80]",C,D,D,D,D,D,D,D
"[-77, -71, -79, -46, -56, -65]",A,A,A,A,A,A,A,A
"[-70, -61, -67, -66, -79, -70]",D,C,D,D,D,D,D,D
"[-74, -70, -68, -47, -66, -46]",E,E,E,E,E,E,E,E
"[-81, -74, -66, -54, -71, -23]",B,E,E,E,E,E,E,E
"[-73, -65, -72, -56, -72, -75]",E,E,E,E,E,E,E,E
"[-62, -47, -66, -66, -88, -66]",E,C,C,C,C,C,C,C
"[-62, -75, -78, -72, -81, -81]",C,D,D,D,D,D,D,D
"[-73, -62, -70, -65, -79, -68]",D,C,D,D,D,D,D,D
"[-66, -52, -75, -60, -76, -57]",E,A,E,E,E,E,E,E
"[-61, -47, -66, -63, -89, -66]",E,D,C,C,C,C,C,C
"[-76, -32, -72, -55, -66, -58]",E,E,E,E,E,E,E,E
"[-79, -81, -73, -49, -62, -53]",E,E,E,E,E,E,E,E
"[-79, -77, -65, -57, -74, -54]",E,E,E,E,E,E,E,E
"[-71, -63, -80, -51, -59, -56]",E,A,A,E,E,E,E,E
"[-62, -75, -78, -72, -81, -81]",C,D,D,D,D,D,D,D
